Player,Previous_Season_Archetype,New_Season_Archetype,Changed Archetype?,Previous_Cluster,New_Cluster,Key Statistical Changes,Notes / Interpretation
DeMar DeRozan,Versatile Two-Way Forwards,Versatile Two-Way Forwards,FALSE,6,6,FGA down 1.04 z; FG down 0.85 z; 2PA down 0.85 z; 3PA down 0.68 z; 2P down 0.64 z,Archetype stayed the same; biggest standardized shifts: FGA down 1.04 z; FG down 0.85 z; 2PA down 0.85 z; 3PA down 0.68 z; 2P down 0.64 z
Derrick Jones Jr.,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,STL down 1.33 z; PF down 1.21 z; FG down 0.83 z; 2P down 0.72 z; FGA down 0.72 z,Archetype stayed the same; biggest standardized shifts: STL down 1.33 z; PF down 1.21 z; FG down 0.83 z; 2P down 0.72 z; FGA down 0.72 z
Derrick White,Perimeter Shooters and Secondary Guards,Perimeter Shooters and Secondary Guards,FALSE,2,2,3P down 0.90 z; 2PA up 0.87 z; BLK up 0.67 z; PF down 0.57 z; 2P up 0.54 z,Archetype stayed the same; biggest standardized shifts: 3P down 0.90 z; 2PA up 0.87 z; BLK up 0.67 z; PF down 0.57 z; 2P up 0.54 z
Desmond Bane,Versatile Two-Way Forwards,Versatile Two-Way Forwards,FALSE,6,6,PF up 2.27 z; FT up 1.29 z; FTA up 1.16 z; DRB down 0.91 z; 2PA up 0.77 z,Archetype stayed the same; biggest standardized shifts: PF up 2.27 z; FT up 1.29 z; FTA up 1.16 z; DRB down 0.91 z; 2PA up 0.77 z
Devin Booker,Primary Shot Creators,Primary Shot Creators,FALSE,7,7,3PA down 1.12 z; AST down 1.00 z; 3P down 0.97 z; PF down 0.79 z; FGA down 0.77 z,Archetype stayed the same; biggest standardized shifts: 3PA down 1.12 z; AST down 1.00 z; 3P down 0.97 z; PF down 0.79 z; FGA down 0.77 z
Dillon Brooks,Perimeter Shooters and Secondary Guards,Perimeter Shooters and Secondary Guards,FALSE,2,2,PF down 1.44 z; 3P down 0.90 z; 2PA up 0.70 z; 2P up 0.70 z; FT up 0.66 z,Archetype stayed the same; biggest standardized shifts: PF down 1.44 z; 3P down 0.90 z; 2PA up 0.70 z; 2P up 0.70 z; FT up 0.66 z
Donovan Mitchell,Primary Shot Creators,Primary Shot Creators,FALSE,7,7,TOV up 0.82 z; 2P up 0.77 z; FT up 0.70 z; FG up 0.65 z; PF up 0.53 z,Archetype stayed the same; biggest standardized shifts: TOV up 0.82 z; 2P up 0.77 z; FT up 0.70 z; FG up 0.65 z; PF up 0.53 z
Dyson Daniels,Versatile Two-Way Forwards,Versatile Two-Way Forwards,FALSE,6,6,STL down 3.01 z; ORB up 0.99 z; 3P down 0.90 z; BLK down 0.82 z; AST up 0.80 z,Archetype stayed the same; biggest standardized shifts: STL down 3.01 z; ORB up 0.99 z; 3P down 0.90 z; BLK down 0.82 z; AST up 0.80 z
Grayson Allen,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,STL up 0.68 z; 3PA up 0.65 z; FGA up 0.62 z; PF up 0.56 z; FT up 0.48 z,Archetype stayed the same; biggest standardized shifts: STL up 0.68 z; 3PA up 0.65 z; FGA up 0.62 z; PF up 0.56 z; FT up 0.48 z
Harrison Barnes,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,FTA down 0.60 z; ORB down 0.60 z; FG down 0.59 z; FT down 0.58 z; TRB down 0.53 z,Archetype stayed the same; biggest standardized shifts: FTA down 0.60 z; ORB down 0.60 z; FG down 0.59 z; FT down 0.58 z; TRB down 0.53 z
Isaiah Collier,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,TOV down 1.05 z; DRB down 0.56 z; TRB down 0.49 z; FT up 0.46 z; 3PA down 0.43 z,Archetype stayed the same; biggest standardized shifts: TOV down 1.05 z; DRB down 0.56 z; TRB down 0.49 z; FT up 0.46 z; 3PA down 0.43 z
Isaiah Hartenstein,Defensive Rim Protectors,Defensive Rim Protectors,FALSE,1,1,PF down 1.35 z; DRB down 1.17 z; TRB down 0.95 z; BLK down 0.81 z; 2PA down 0.75 z,Archetype stayed the same; biggest standardized shifts: PF down 1.35 z; DRB down 1.17 z; TRB down 0.95 z; BLK down 0.81 z; 2PA down 0.75 z
